Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWE IDs
2c3160304278d323da8485057770926d1b582579,1713,33,3,31,63,1655,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
2c5d652493b79eecadd4407f24f2249948bd6ff2,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
2d31dce8262a68875c177645fa0c7585a45ac447,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
2fec0b206c6e83ea813ab26597e15c96fab08be7,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
3207af8827d4162ef5841249c46fbb9da043c551,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
321bd74b954156553db3dca8f43b45cdd5a88f76,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
326ad3f43c63f84a69d6d08af276cbdf653efc51,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
346d1abaff0270104ffa3a0e8bee7de279a1cee7,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
39e7208366bcf549fd7a2678a6d815dfe39196c5,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
3d357273b50ed9c8ca660f60fde255c26ff7a228,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
40b78fa2ea9095197608287de9f0d902d2763b00,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
470e2b8d17fd0032271b21f1d6775d48c3855a79,1716,34,3,31,63,1659,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
484a7cc9a7ba2540ab2af5141196f5ab5809df33,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
4995a775df21a206b529403bc30d71795a994fd4,1719,34,3,31,63,1662,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
4a1766c252bac0de1368cc4eaefba1299f77d546,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
4e894892bc0230c46e998b6ea82b5b07b9943a39,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
4f7156f2c3271613b34d04040b502b9d7ae35eb9,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
4fe0aebab79a092615f5f86a24b91bac07fb2ef2,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
4fec712f329ceecd38729af6404a2c32aed83648,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
52ccd66735ba1f6e67d06e747d6a641980b788a3,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
54c3f87af9f6c0d6622cec2c3d9695b0229fb8fa,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
5b525e97970b1b9706b4415de79abfe33e5955fc,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
5e059be1b327f2f2f64115d2897c5864eff69b7d,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
5e8cb740187c0561b36323dfc8510e58c3066838,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
5fcc999b7df0f5cc71cfd9b74ea494b96486f84f,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
5fdce4c331ac530280cc941179d364a07f4a1088,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
60a11a730e8aa2450115385798ab8710804c6409,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
6748a09341deeac16acb33996df95a31fae0c545,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
6b361ce06b08454329286214072139228e8c2f33,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
6c44dd4bb8e4f2ca5f135f172de4725b2cada155,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
70602a196a6da90eb0d34cdfe5d4d16a99606279,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
7320e311a0a3f190351173f8be90cab31dadbf73,1697,33,3,30,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
74721b48f0347f19f134f386fab3421e5132fb53,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
7621b3d96ac2d53846c4df211bc05c5e13420028,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
767ad19b10c64af1fa328383713ea97e23cc0080,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
81b3c85f51834a06bc8fbecf350bc20d756d8026,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
823e279e0dd40d8818a8d58c12a7df22caae1c04,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
860a25c390eba8e6c089a818b02800dd9d789864,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
87d5f5b9a9697434e6d972b021201105eabb54e6,1697,33,3,30,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
8aa161a43731795841fa2678d3dff0559cee527e,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
8f2bc008ad724a52f3669ecb2de59c98deb69ce1,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
8f37c82f6144fffc2ed30e49ee81a54702a0f317,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
9101439d7b7e21d5cf8a4a2a3dc92b9980539c6b,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
959052fb8d49c4473f6d8a928d745ae7c38c7e95,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
96800fb673cb7b2d75476096798e701e3e6d26bc,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
98ae71897600a3162f529b1b30c70b8abdf0961b,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
9e831e915fa875423af0c0de8f53a3780055919e,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
9efc1ebeeb431769897798cdf8de2c67dcbbc9c0,1713,33,3,31,63,1655,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
a363642a32880114c7944b1017f2f69bd4cc00eb,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
a4bada52d0c5442011665eb1ad4bdb61c06d28fe,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
a936b0c610ba86f542eb3855de2be674a7b9310b,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
a9b99b3489cc24b5bed99fbadbd91f598a5a1420,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
ab8149664182b662453a563161aa89013c806dc9,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
ad36383951c130f16e02b5f61b1161da99bc1ca4,1697,33,3,30,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
adb7dd99c295a28726c8d818fba54c7b3f958ecc,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
b337d210583a3f5f84d0f70b56ae9a82b029dab5,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
b394a994e6d632643d0061e0e67772f076925951,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
b7278186c4e16c58a4dbd439eedf716146c19f53,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
be508c618411d72281672980abb19b2150581943,1697,33,3,30,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
c12a5d874c5a014495eb2db8a73f40037bc813ac,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
c5a5576522273ff028018c4e13d1fc4d0260495b,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
c77b099cbb979269d45df06753cadd8abc662e23,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
c7a53888a1a514619b0611fd8b7928592f4ed612,1711,33,3,31,63,1653,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
c7da8c2aa3a923fc620ad480a8831a8a0f21ab37,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
ccf125bf30102beedafb3ecef72376bfb6c90a4d,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
d2030595dcdc8ca5701504f00255360fb12a3a2b,1697,33,3,30,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
d22bfcd4cfe3b93daddfce8521f77447ca8d6b84,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
d718ecf6d3dfc4656d262154c59672437c1ea075,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
da3a0ddfe2de5be718a2d7cb3021f350bf04c402,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
db0fe9436e9da7f7bd14683542bbf33ba3c6d5e4,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
db461112c70d5f2bf93c7a6ac27eeb665c232dd0,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
db49548d7168bba319fdba400bc201528cb1d3cd,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
dcbe86bd1577bad9a1356acca5fced7d3fb3a0c3,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
df201ed152b61c439ea1ace179f35b424594ba6c,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
dffe3034825edc4f84aded013fc9c6590e545ed5,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
e13373f838ab34027c5a80e16a6cb8262d41eab7,1716,34,3,31,63,1659,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
e165f3aef4dbede5d7e3f71c336c89a268753ae9,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
e3535f99717bdf3882c0b48bff3e3eb244454e34,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
e63ead4208c1e56723532878728ef9c2eb197b01,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
eb1182a10e757b5e76009c69fdf3a88a5afc6840,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
ecc057dd4857e655f0844b781899a917852042a4,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
f49dbfd3e451006a485e81ebce030495131c4454,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
f567ab90681235f38bdeaeda004d89e85b8627d9,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
f622b1cadea2bed4ea4cc476695e9c181ec5da11,1696,33,3,30,63,1639,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
f93dd6e826a9bf00bf9e08d9bb3a03abcb1e974c,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
f958b6500b2aeb8edc578a07f00546becdad4c80,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
